aisle_id,aisle,sales,rank
24,fresh fruits,3792661,1
83,fresh vegetables,3568630,2
123,packaged vegetables fruits,1843806,3
120,yogurt,1507583,4
21,packaged cheese,1021462,5
84,milk,923659,6
115,water seltzer sparkling water,878150,7
107,chips pretzels,753739,8
91,soy lactosefree,664493,9
112,bread,608469,10
31,refrigerated,599109,11
116,frozen produce,545107,12
37,ice cream ice,521101,13
78,crackers,478430,14
3,energy granola bars,473835,15
86,eggs,472009,16
96,lunch meat,412087,17
38,frozen meals,408520,18
92,baby food formula,395654,19
16,fresh herbs,393793,20
