product_id,product_name,orders_count,rank
24852,Banana,115521,1
13176,Bag of Organic Bananas,82877,2
27845,Organic Whole Milk,32071,3
21137,Organic Strawberries,28875,4
47209,Organic Hass Avocado,24913,5
21903,Organic Baby Spinach,24412,6
47766,Organic Avocado,23393,7
19660,Spring Water,17552,8
16797,Strawberries,17073,9
27966,Organic Raspberries,14950,10
44632,Sparkling Water Grapefruit,14380,11
49235,Organic Half & Half,13073,12
47626,Large Lemon,12891,13
196,Soda,12327,14
38689,Organic Reduced Fat Milk,10242,15
26209,Limes,10092,16
12341,Hass Avocados,9952,17
27086,Half & Half,9847,18
5785,Organic Reduced Fat 2% Milk,9644,19
43352,Raspberries,9320,20
